	30.26	-57.30	areal	-2120	-7464	3810
16:52:59.505 -> euler	13.41	31.98	-46.30	areal	-1695	-7065	2789
16:52:59.547 -> euler	13.71	31.80	-46.01	areal	-1688	-7046	2758
16:52:59.547 -> euler	14.01	31.62	-45.71	areal	-1672	-7023	2723
16:52:59.547 -> euler	14.30	31.44	-45.41	areal	-1650	-6993	2688
16:52:59.547 -> euler	14.59	31.26	-45.11	areal	-1622	-6957	2652
16:52:59.586 -> euler	14.85	31.08	-44.82	areal	-1593	-6918	2617
16:52:59.586 -> euler	15.11	30.90	-44.52	areal	-1567	-6879	2579
16:52:59.586 -> euler	15.40	30.72	-44.22	areal	-1551	-6842	2541
16:52:59.586 -> euler	15.69	30.53	-43.91	areal	-1541	-6808	2507
16:52:59.624 -> euler	16.02	30.35	-43.60	areal	-1532	-6779	2475
16:52:59.624 -> euler	16.36	30.16	-43.27	areal	-1520	-6753	2440
16:52:59.624 -> euler	16.71	29.97	-42.95	areal	-1505	-6729	2407
16:52:59.624 -> euler	17.09	29.79	-42.62	areal	-1478	-6708	2372
16:52:59.661 -> euler	17.45	29.61	-42.29	areal	-1444	-6684	2336
16:52:59.661 -> euler	17.81	29.43	-41.96	areal	-1402	-6663	2298
16:52:59.661 -> euler	18.15	29.26	-41.62	areal	-1351	-6642	2260
16:52:59.661 -> euler	18.45	29.09	-41.31	areal	-1301	-6622	2222
16:52:59.704 -> euler	18.72	28.91	-40.99	areal	-1256	-6600	2183
16:52:59.704 -> euler	18.97	28.74	-40.66	areal	-1224	-6578	2141
16:52:59.704 -> euler	19.20	28.57	-40.35	areal	-1203	-6559	2104
16:52:59.704 -> euler	19.41	28.39	-40.05	areal	-1193	-6541	2069
16:52:59.743 -> euler	19.61	28.22	-39.74	areal	-1190	-6520	2033
16:52:59.743 -> euler	19.81	28.05	-39.45	areal	-1189	-6494	1998
16:52:59.743 -> euler	20.02	27.89	-39.16	areal	-1189	-6464	1963
16:52:59.743 -> euler	20.23	27.73	-38.88	areal	-1188	-6436	1927
16:52:59.779 -> euler	20.43	27.59	-38.60	areal	-1186	-6409	1892
16:52:59.779 -> euler	20.64	27.45	-38.33	areal	-1183	-6386	1859
16:52:59.779 -> euler	20.83	27.32	-38.06	areal	-1180	-6363	1826
16:52:59.825 -> euler	21.03	27.20	-37.80	areal	-1178	-6343	1797
16:52:59.825 -> euler	21.21	27.09	-37.55	areal	-1175	-6319	1769
16:52:59.825 -> euler	21.38	26.99	-37.30	areal	-1170	-6289	1741
16:52:59.825 -> euler	21.52	26.90	-37.07	areal	-1165	-6255	1717
16:52:59.825 -> euler	21.65	26.82	-36.84	areal	-1160	-6224	1695
16:52:59.865 -> euler	21.77	26.75	-36.61	areal	-1154	-6198	1677
16:52:59.865 -> euler	21.92	26.68	-36.38	areal	-1147	-6171	1661
16:52:59.865 -> euler	22.07	26.61	-36.16	areal	-1137	-6147	1645
16:52:59.865 -> euler	22.21	26.56	-35.94	areal	-1129	-6130	1634
16:52:59.905 -> euler	22.35	26.50	-35.73	areal	-1118	-6116	1626
16:52:59.905 -> euler	22.46	26.46	-35.52	areal	-1112	-6102	1623
16:52:59.905 -> euler	22.55	26.42	-35.32	areal	-1102	-6092	1623
16:52:59.905 -> euler	22.62	26.38	-35.12	areal	-1093	-6077	1622
16:52:59.946 -> euler	22.65	26.35	-34.93	areal	-1088	-6066	1621
16:52:59.946 -> euler	22.66	26.32	-34.74	areal	-1087	-6056	1622
16:52:59.946 -> euler	22.63	26.29	-34.56	areal	-1089	-6047	1619
16:52:59.946 -> euler	22.58	26.26	-34.38	areal	-1092	-6039	1614
16:52:59.986 -> euler	22.50	26.23	-34.21	areal	-1097	-6026	1609
16:52:59.986 -> euler	22.40	26.21	-34.05	areal	-1111	-6005	1606
16:52:59.986 -> euler	22.26	26.19	-33.89	areal	-1142	-5977	1601
16:52:59.986 -> euler	22.12	26.16	-33.73	areal	-1184	-5942	1597
16:53:00.025 -> euler	21.98	26.13	-33.57	areal	-1228	-5900	1591
16:53:00.025 -> euler	21.87	26.11	-33.40	areal	-1274	-5856	1589
16:53:00.025 -> euler	21.79	26.07	-33.24	areal	-1318	-5810	1588
16:53:00.025 -> euler	21.76	26.04	-33.05	areal	-1360	-5764	1587
16:53:00.066 -> euler	21.78	26.00	-32.87	areal	-1392	-5721	1583
16:53:00.066 -> euler	21.84	25.95	-32.66	areal	-1414	-5685	1573
16:53:00.066 -> euler	21.94	25.91	-32.44	areal	-1425	-5656	1561
16:53:00.066 -> euler	22.08	25.84	-32.22	areal	-1428	-5627	1547
16:53:00.105 -> euler	22.22	25.79	-31.98	areal	-1428	-5605	1532
16:53:00.105 -> euler	22.39	25.72	-31.75	areal	-1424	-5586	1517
16:53:00.105 -> euler	22.55	25.65	-31.51	areal	-1415	-5570	1500
16:53:00.105 -> euler	22.72	25.57	-31.26	areal	-1402	-5556	1481
16:53:00.143 -> euler	22.86	25.50	-31.02	areal	-1386	-5542	1461
16:53:00.143 -> euler	23.00	25.41	-30.77	areal	-1371	-5523	1434
16:53:00.143 -> euler	23.12	25.31	-30.52	areal	-1355	-5504	1405
16:53:00.143 -> euler	23.24	25.20	-30.28	areal	-1340	-5483	1380
16:53:00.184 -> euler	23.36	25.09	-30.04	areal	-1329	-5465	1350
16:53:00.184 -> euler	23.47	24.97	-29.80	areal	-1321	-5449	1320
16:53:00.184 -> euler	23.59	24.84	-29.56	areal	-1311	-5429	1289
16:53:00.184 -> euler	23.71	24.70	-29.32	areal	-1302	-5408	1254
16:53:00.226 -> euler	23.84	24.56	-29.09	areal	-1291	-5390	1223
16:53:00.226 -> euler	23.97	24.41	-28.86	areal	-1279	-5371	1190
16:53:00.226 -> euler	24.11	24.25	-28.63	areal	-1265	-5353	1160
16:53:00.226 -> euler	24.23	24.08	-28.41	areal	-1253	-5337	1131
16:53:00.267 -> euler	24.35	23.91	-28.19	areal	-1244	-5318	1099
16:53:00.267 -> euler	24.45	23.74	-27.97	areal	-1237	-5300	1067
16:53:00.267 -> euler	24.56	23.57	-27.75	areal	-1229	-5281	1036
16:53:00.267 -> euler	24.67	23.39	-27.54	areal	-1222	-5258	1007
16:53:00.307 -> euler	24.78	23.22	-27.33	areal	-1214	-5233	980
16:53:00.307 -> euler	24.92	23.04	-27.13	areal	-1210	-5206	953
16:53:00.307 -> euler	25.07	22.86	-26.93	areal	-1206	-5180	928
16:53:00.307 -> euler	25.25	22.68	-26.74	areal	-1199	-5154	903
16:53:00.345 -> euler	25.44	22.51	-26.54	areal	-1193	-5131	876
16:53:00.345 -> euler	25.63	22.34	-26.35	areal	-1190	-5106	850
16:53:00.345 -> euler	25.82	22.17	-26.15	areal	-1188	-5081	825
16:53:00.345 -> euler	25.99	22.01	-25.96	areal	-1185	-5054	804
16:53:00.385 -> euler	26.13	21.86	-25.77	areal	-1187	-5025	782
16:53:00.385 -> euler	26.26	21.71	-25.58	areal	-1191	-4993	761
16:53:00.385 -> euler	26.34	21.58	-25.39	areal	-1196	-4959	741
16:53:00.385 -> euler	26.38	21.46	-25.20	areal	-1198	-4923	725
16:53:00.424 -> euler	26.38	21.34	-25.01	areal	-1204	-4887	709
16:53:00.424 -> euler	26.36	21.24	-24.82	areal	-1215	-4854	692
16:53:00.424 -> euler	26.31	21.14	-24.63	areal	-1225	-4824	674
16:53:00.424 -> euler	26.25	21.05	-24.44	areal	-1238	-4795	651
16:53:00.465 -> euler	26.18	20.97	-24.23	areal	-1249	-4770	630
16:53:00.465 -> euler	26.10	20.90	-24.04	areal	-1259	-4743	611
16:53:00.465 -> euler	26.01	20.83	-23.84	areal	-1270	-4718	592
16:53:00.465 -> euler	25.90	20.77	-23.64	areal	-1284	-4693	575
16:53:00.506 -> euler	25.79	20.72	-23.44	areal	-1296	-4666	562
16:53:00.506 -> euler	25.68	20.67	-23.24	areal	-1312	-4641	552
16:53:00.506 -> euler	25.55	20.62	-23.03	areal	-1328	-4614	540
16:53:00.506 -> euler	25.42	20.58	-22.83	areal	-1345	-4588	529
16:53:00.542 -> euler	25.29	20.54	-22.62	areal	-1361	-4563	519
16:53:00.542 -> euler	25.15	20.51	-22.41	areal	-1377	-4540	509
16:53:00.542 -> euler	24.99	20.48	-22.21	areal	-1390	-4519	499
16:53:00.542 -> euler	24.83	20.44	-22.00	areal	-1403	-4498	487
16:53:00.589 -> euler	24.68	20.42	-21.78	areal	-1415	-4480	474
16:53:00.589 -> euler	24.52	20.39	-21.58	areal	-1424	-4463	462
16:53:00.589 -> euler	24.37	20.36	-21.37	areal	-1431	-4443	447
16:53:00.589 -> euler	24.24	20.33	-21.17	areal	-1440	-4420	438
16:53:00.626 -> euler	24.12	20.29	-20.96	areal	-1452	-4397	429
16:53:00.626 -> euler	24.03	20.25	-20.75	areal	-1468	-4372	422
16:53:00.626 -> euler	23.94	20.21	-20.55	areal	-1484	-4350	414
16:53:00.626 -> euler	23.86	20.16	-20.35	areal	-1502	-4328	408
16:53:00.669 -> euler	23.78	20.11	-20.15	areal	-1519	-4304	401
16:53:00.669 -> euler	23.69	20.07	-19.96	areal	-1536	-4280	392
16:53:00.669 -> euler	23.58	20.01	-19.76	areal	-1551	-4255	379
16:53:00.669 -> euler	23.47	19.96	-19.57	areal	-1566	-4231	365
16:53:00.712 -> euler	23.36	19.90	-19.38	areal	-1583	-4204	351
16:53:00.712 -> euler	23.25	19.84	-19.19	areal	-1600	-4179	337
16:53:00.712 -> euler	23.17	19.77	-19.00	areal	-1619	-4154	321
16:53:00.712 -> euler	23.07	19.69	-18.82	areal	-1640	-4133	309
16:53:00.712 -> euler	23.00	19.61	-18.64	areal	-1660	-4113	296
16:53:00.756 -> euler	22.94	19.53	-18.46	areal	-1678	-4092	282
16:53:00.756 -> euler	22.89	19.45	-18.27	areal	-1694	-4072	269
16:53:00.756 -> euler	22.84	19.35	-18.10	areal	-1708	-4053	256
16:53:00.756 -> euler	22.80	19.27	-17.92	areal	-1721	-4037	241
16:53:00.792 -> euler	22.75	19.17	-17.74	areal	-1733	-4019	229
16:53:00.792 -> euler	22.69	19.09	-17.57	areal	-1743	-3999	216
16:53:00.792 -> euler	22.61	19.00	-17.40	areal	-1755	-3976	203
16:53:00.792 -> euler	22.54	18.90	-17.23	areal	-1767	-3953	191
16:53:00.836 -> euler	22.48	18.81	-17.06	areal	-1777	-3928	176
16:53:00.836 -> euler	22.44	18.72	-16.89	areal	-1785	-3905	166
16:53:00.836 -> euler	22.44	18.63	-16.73	areal	-1791	-3885	156
16:53:00.836 -> euler	22.45	18.54	-16.56	areal	-1795	-3864	145
16:53:00.872 -> euler	22.50	18.44	-16.40	areal	-1794	-3843	134
16:53:00.872 -> euler	22.54	18.34	-16.24	areal	-1794	-3821	122
16:53:00.872 -> euler	22.56	18.24	-16.07	areal	-1793	-3802	110
16:53:00.872 -> euler	22.57	18.15	-15.92	areal	-1792	-3783	100
16:53:00.914 -> euler	22.57	18.06	-15.77	areal	-1789	-3763	88
16:53:00.914 -> euler	22.54	17.97	-15.62	areal	-1788	-3740	77
16:53:00.914 -> euler	22.51	17.88	-15.47	areal	-1790	-3719	65
16:53:00.914 -> euler	22.48	17.79	-15.34	areal	-1794	-3702	54
16:53:00.959 -> euler	22.45	17.69	-15.21	areal	-1797	-3686	39
16:53:00.959 -> euler	22.41	17.61	-15.08	areal	-1800	-3669	27
16:53:00.959 -> euler	22.37	17.52	-14.95	areal	-1802	-3653	19
16:53:00.959 -> euler	22.32	17.44	-14.84	areal	-1804	-3636	15
16:53:01.005 -> euler	22.26	17.35	-14.73	areal	-1805	-3616	12
16:53:01.005 -> euler	22.18	17.27	-14.63	areal	-1800	-3595	9
16:53:01.005 -> euler	22.09	17.18	-14.53	areal	-1794	-3568	12
16:53:01.005 -> euler	22.01	17.10	-14.44	areal	-1799	-3535	13
