	0.03	-0.00	areal	0	0	-4
16:15:12.049 -> euler	7.80	-4.95	-2.05	areal	765	-184	336
16:15:12.049 -> euler	7.80	-4.95	-2.03	areal	799	-179	325
16:15:12.049 -> euler	7.84	-4.96	-2.01	areal	842	-184	321
16:15:12.049 -> euler	7.97	-4.98	-1.98	areal	890	-176	321
16:15:12.092 -> euler	8.17	-5.02	-1.96	areal	939	-151	320
16:15:12.092 -> euler	8.43	-5.05	-1.93	areal	979	-124	324
16:15:12.092 -> euler	8.69	-5.10	-1.90	areal	1000	-107	334
16:15:12.092 -> euler	8.92	-5.15	-1.86	areal	998	-94	346
16:15:12.132 -> euler	9.08	-5.21	-1.83	areal	984	-78	353
16:15:12.132 -> euler	9.20	-5.27	-1.78	areal	966	-64	363
16:15:12.132 -> euler	9.32	-5.33	-1.73	areal	962	-50	376
16:15:12.132 -> euler	9.47	-5.38	-1.67	areal	968	-30	395
16:15:12.172 -> euler	9.64	-5.43	-1.60	areal	981	8	414
16:15:12.172 -> euler	9.83	-5.47	-1.53	areal	995	51	426
16:15:12.172 -> euler	10.02	-5.52	-1.43	areal	1013	90	434
