	0.02	-0.00	areal	0	0	-4
16:29:14.536 -> euler	16.96	-7.89	-4.06	areal	1352	-364	659
16:29:14.536 -> euler	16.63	-8.08	-3.80	areal	1364	-337	672
16:29:14.536 -> euler	16.26	-8.27	-3.54	areal	1397	-296	682
16:29:14.536 -> euler	15.91	-8.45	-3.26	areal	1437	-249	685
16:29:14.573 -> euler	15.66	-8.63	-2.97	areal	1470	-192	680
16:29:14.573 -> euler	15.53	-8.83	-2.66	areal	1505	-115	677
16:29:14.573 -> euler	15.49	-9.02	-2.34	areal	1533	-28	680
16:29:14.615 -> euler	15.49	-9.22	-2.01	areal	1551	51	687
16:29:14.615 -> euler	15.50	-9.42	-1.65	areal	1561	118	693
16:29:14.615 -> euler	15.49	-9.61	-1.28	areal	1569	167	696
16:29:14.615 -> euler	15.47	-9.81	-0.90	areal	1575	203	696
16:29:14.615 -> euler	15.43	-10.01	-0.50	areal	1579	230	690
16:29:14.657 -> euler	15.40	-10.20	-0.10	areal	1569	248	681
16:29:14.657 -> euler	15.38	-10.39	0.31	areal	1548	272	672
16:29:14.657 -> euler	15.38	-10.57	0.72	areal	1526	310	662
16:29:14.657 -> euler	15.37	-10.73	1.13	areal	1510	362	653
16:29:14.697 -> euler	15.32	-10.89	1.53	areal	1502	419	642
16:29:14.697 -> euler	15.24	-11.03	1.93	areal	1497	465	635
16:29:14.697 -> euler	15.12	-11.16	2.34	areal	1488	492	630
16:29:14.697 -> euler	14.97	-11.27	2.73	areal	1474	502	624
16:29:14.737 -> euler	14.76	-11.38	3.12	areal	1472	508	614
16:29:14.737 -> euler	14.47	-11.46	3.50	areal	1479	514	607
16:29:14.737 -> euler	14.10	-11.53	3.85	areal	1500	533	600
16:29:14.737 -> euler	13.70	-11.58	4.19	areal	1510	564	601
16:29:14.777 -> euler	13.30	-11.63	4.52	areal	1511	625	602
16:29:14.777 -> euler	12.91	-11.67	4.83	areal	1514	698	607
16:29:14.777 -> euler	12.56	-11.70	5.14	areal	1521	773	618
16:29:14.777 -> euler	12.26	-11.73	5.44	areal	1535	846	629
16:29:14.817 -> euler	12.01	-11.75	5.75	areal	1559	916	638
16:29:14.817 -> euler	11.83	-11.78	6.05	areal	1579	971	651
16:29:14.817 -> euler	11.72	-11.81	6.36	areal	1576	1005	665
16:29:14.817 -> euler	11.68	-11.84	6.67	areal	1562	1026	673
16:29:14.855 -> euler	11.69	-11.88	6.99	areal	1541	1042	675
16:29:14.855 -> euler	11.72	-11.90	7.29	areal	1524	1054	671
16:29:14.855 -> euler	11.73	-11.93	7.59	areal	1511	1067	665
16:29:14.855 -> euler	11.71	-11.95	7.87	areal	1506	1087	660
16:29:14.897 -> euler	11.67	-11.95	8.14	areal	1502	1110	657
16:29:14.897 -> euler	11.63	-11.96	8.41	areal	1494	1142	656
16:29:14.897 -> euler	11.63	-11.95	8.66	areal	1473	1177	656
16:29:14.897 -> euler	11.66	-11.96	8.90	areal	1437	1219	659
16:29:14.936 -> euler	11.75	-11.95	9.14	areal	1396	1257	665
16:29:14.936 -> euler	11.84	-11.93	9.37	areal	1359	1296	670
16:29:14.936 -> euler	11.93	-11.91	9.59	areal	1322	1328	677
16:29:14.936 -> euler	12.00	-11.87	9.79	areal	1294	1362	677
16:29:14.973 -> euler	12.03	-11.83	9.99	areal	1285	1408	675
16:29:14.973 -> euler	12.02	-11.77	10.19	areal	1289	1461	673
16:29:14.973 -> euler	11.99	-11.72	10.37	areal	1296	1510	667
16:29:15.015 -> euler	11.97	-11.66	10.55	areal	1297	1552	657
16:29:15.015 -> euler	12.00	-11.61	10.72	areal	1281	1591	646
16:29:15.015 -> euler	12.08	-11.57	10.89	areal	1256	1624	635
16:29:15.015 -> euler	12.17	-11.53	11.05	areal	1225	1648	626
16:29:15.015 -> euler	12.25	-11.49	11.20	areal	1189	1668	611
16:29:15.057 -> euler	12.28	-11.45	11.34	areal	1158	1698	599
16:29:15.057 -> euler	12.27	-11.41	11.47	areal	1126	1738	593
16:29:15.057 -> euler	12.21	-11.37	11.59	areal	1098	1780	598
16:29:15.057 -> euler	12.13	-11.34	11.72	areal	1069	1827	605
16:29:15.099 -> euler	12.04	-11.30	11.83	areal	1042	1881	614
16:29:15.099 -> euler	11.97	-11.27	11.95	areal	1010	1946	623
16:29:15.099 -> euler	11.95	-11.24	12.07	areal	967	2017	633
16:29:15.099 -> euler	11.99	-11.23	12.20	areal	921	2088	640
16:29:15.135 -> euler	12.08	-11.21	12.33	areal	880	2146	639
16:29:15.135 -> euler	12.18	-11.20	12.48	areal	845	2182	633
16:29:15.135 -> euler	12.28	-11.19	12.64	areal	812	2200	621
16:29:15.135 -> euler	12.34	-11.18	12.81	areal	776	2208	609
16:29:15.175 -> euler	12.38	-11.17	12.99	areal	740	2212	600
16:29:15.175 -> euler	12.41	-11.17	13.16	areal	698	2216	597
16:29:15.175 -> euler	12.46	-11.15	13.33	areal	654	2223	600
16:29:15.175 -> euler	12.49	-11.14	13.51	areal	611	2237	607
16:29:15.215 -> euler	12.49	-11.12	13.68	areal	571	2255	619
16:29:15.215 -> euler	12.44	-11.10	13.85	areal	535	2273	631
16:29:15.215 -> euler	12.34	-11.07	14.03	areal	510	2292	643
16:29:15.215 -> euler	12.19	-11.03	14.20	areal	496	2314	652
16:29:15.255 -> euler	12.04	-11.00	14.37	areal	491	2339	660
16:29:15.255 -> euler	11.92	-10.96	14.54	areal	486	2365	668
16:29:15.255 -> euler	11.85	-10.92	14.72	areal	472	2389	673
16:29:15.255 -> euler	11.80	-10.89	14.89	areal	452	2410	678
16:29:15.295 -> euler	11.74	-10.86	15.06	areal	435	2428	681
16:29:15.295 -> euler	11.61	-10.81	15.23	areal	429	2429	677
16:29:15.295 -> euler	11.40	-10.78	15.40	areal	450	2418	664
16:29:15.295 -> euler	11.15	-10.74	15.56	areal	492	2395	646
